,Time,Title,Description,Body
0,2023-03-03 09:13:00,GQG Partners: How Rajiv Jain built a $92 billion stock empire,"This formula has proven spectacularly successful. In less than seven years, Jain, the former chief investment officer at Vontobel Asset Management, has built GQG into a $92 billion powerhouse. Few, if any, startup funds in recent memory have raised so much money in so little time, according to Morningstar Direct.","The co-founder of GQG Partners doesn’t have a Twitter account and rarely appears on TV. And in his growth stock funds, there are no driverless-car companies or hypersonic-missile manufacturers. Instead, you will find lots of industries with a decidedly 20th-century feel: oil, tobacco, banking. This formula has proven spectacularly successful. In less than seven years, Jain, the former chief investment officer at Vontobel Asset Management, has built GQG into a $92 billion powerhouse. Few, if any, startup funds in recent memory have raised so much money in so little time, according to Morningstar Direct. In 2022, when most asset managers watched clients yank cash from their funds as markets cratered, GQG thrived. The firm lured $8 billion in fresh investment and three of its four flagship funds beat benchmark indexes by wide margins. Pull the lens back further and the outperformance of GQG’s biggest fund, the $26 billion Goldman Sachs GQG Partners International Opportunities Fund, is even starker. Since its inception in December 2016, the fund has gained 10.8% a year, more than double the benchmark’s 3.9% annual return.  All this success, dating back to his days as a star manager at Vontobel, has given Jain a certain swagger. He plunks down huge sums of money on individual stocks and, in a heartbeat, can bail on an entire position — the sort of bold moves most in the industry avoid. Moreover, in talking with him, it quickly becomes clear that he doesn’t make much of his rival stock-pickers. Jain considers himself a “quality growth manager.” He refers to others, without naming names, as “quote-unquote quality growth managers.” To him, many of them are mere imposters who rode the wave of cheap money, only to be exposed when the era of zero interest rates came to an abrupt end. “These kinds of volatile years actually allow you to differentiate a little bit more,” he says in a telephone interview from GQG’s headquarters in Fort Lauderdale, Florida. “A lot of ‘quality growth’ managers basically blew up. We found out whether they really own quality.” Jain has had his share of missteps, of course. His big bet on Russia — 16% of all his emerging-market fund’s money was invested in the country at the start of 2022 — backfired badly when President Vladimir Putin invaded Ukraine. He started to pull back as the war clouds began to gather but didn’t liquidate all the fund’s holdings and, as a result, it tumbled 21% last year, making it the only major GQG fund to underperform its benchmark. And this year, as US tech stocks rebounded on speculation the Federal Reserve was close to ending its rate-hiking cycle, GQG funds have trailed. His decision to underweight China has also been costly as the government lifted strict Covid lockdowns that were hamstringing the economy. Jain’s international fund — which is distributed to investors by Goldman Sachs Group Inc. — has gained just 3.4% this year, compared with the benchmark’s 7.8% jump, putting it in the bottom 6 percentile. “I’m not a happy camper these days,” Jain says with a chuckle. Calculated Risks At some level, this year’s underperformance isn’t terribly surprising. The stocks Jain likes to own tend to be more defensive in nature, the kind that will hold up well in a downturn but lag when the economy and stock market are ripping. “He is so much more cautious than other growth managers,” says Gregg Wolper, a senior analyst at Morningstar. There is a seeming contradiction to it all, at least to an outside observer. Jain likes safe, defensive stocks but then makes outsize, risky bets on them. He explains the philosophy this way: By loading up on companies that have what he calls bullet-proof balance sheets — names like Exxon Mobil Corp. and Visa Inc. — it’s unlikely any of them will suffer the kind of sudden collapse that’d wreak havoc on his portfolio. “We try to take less absolute risk,” Jain says. “The businesses we own generate lot of free cash flow. So the risk of us losing on an absolute basis is a lot lower. But sometimes that means you have to take more relative risk.” Jain typically invests in 40 to 50 large-cap stocks in his international fund, compared with the benchmark’s more than 2,000 companies. His US fund holds less than 30 stocks, compared with over 500 in the S&P index. Two of the international fund’s top 10 holdings are tobacco companies — British American Tobacco and Philip Morris International. They account for almost 10% of the portfolio. Vontobel Years Born and raised in India, Jain moved to the US in 1990 to pursue his MBA at the University of Miami. He joined Vontobel in 1994, rising through the ranks to become the Swiss firm’s CIO in 2002. By the time he left the firm to start GQG in March 2016, Vontobel’s emerging market fund returned a total of 70% in 10 years, more than double the MSCI Emerging Markets Index. Jain, who has a majority stake in GQG, invests most of his personal wealth in its funds. When GQG went public in Australia in 2021, raising about $893 million in the country’s largest IPO that year, Jain pledged to invest 95% of the IPO proceeds in the company and keep the money there for seven years. There are other things that make Jain different than the typical boss at an investment firm: He refuses to meet with executives who run companies he’s considering investing in so he doesn’t “drink their Kool-Aid”; he bans GQG employees from trading stocks in their personal accounts; and when his Russia bet went awry last year, he apologized on a conference call to GQG investors for the losses they took. “He has a combination of confidence and yet some humility in understanding that he might be wrong about something,” says Wolper. ‘Game of Survival’ This ability to recognize errors — and rapidly change course, as a result — is something Jain believes his rivals lack. For instance, they failed, he says, to recognize last year that the tech-stock boom was about to go bust. He started cutting his tech holdings in late 2021 after riding the pandemic-fueled tech surge — or “the bubble,” as he calls it — for a while. By March of last year, as inflation was percolating and interest rates were soaring, Jain had slashed his international fund’s tech holdings all the way down to 5% of the portfolio from 23% in mid-2021, while increasing its weighting of energy stocks to 19% from less than 2%. That switch paid off handsomely, helping limit the fund’s losses, as global energy stocks jumped 41% last year while tech stocks plunged 31%. “Investing is a game of survival because most people won’t survive in the long run,” says Jain. “So that should be the mindset rather than trying to win all the time. It’s as much about avoiding losing rather than trying to win.” And what if he’s wrong now? What if the recent gains in tech are just the beginning of a broader rebound in the industry? Jain is dubious. To him, the tech giants shouldn’t even be considered growth stocks anymore. But he’s ready, he says, to blow up his portfolio once again if needed. “If the data proves that we are wrong, we are happy to change our mind.”"
1,2023-03-03 07:29:00,"Foxconn to set up electronic manufacturing plant in Telangana, to provide 1 lakh jobs","A release from the Chief Minister's office said Hon Hai Technology Group (Foxconn) and the state government have signed an agreement at Pragati Bhavan where Foxconn Chairman, Young Liu called on Rao.","Taiwanese electronics giant, Foxconn will establish a manufacturing facility in Telangana which will create employment generation potential for over 1,00,000 people. A release from the Chief Minister's office said Hon Hai Technology Group (Foxconn) and the state government have signed an agreement at Pragati Bhavan where Foxconn Chairman, Young Liu called on Rao. The 'historic deal' has potential to generate employment to over one lakh people over a period of 10 years, it noted. The CM said his ""government is on a mission to transform Telangana for better and has undertaken several marquee projects to realise the vision of Bangaru Telangana. Foxconn's unit will help in generating large scale employment to youth and will help attract more such industries to the state."" Rao emphasized that Telangana considers Taiwan as a natural partner and that the state is glad to be a part of Foxconn's growth story. He called Foxconn's huge investment and the opportunity to create more than one lakh jobs like never before in Telangana 'commendable.' The Chief Minister further said steps will be taken to ensure that one lakh jobs are available to the state's youth and assured Young Liu that his government will provide necessary support to Foxconn for its operations in the state. The Foxconn Chairman lauded the friendly industrial development eco system created in Telangana and expressed happiness over the progress achieved by the state in the industrial sector, especially in IT and related electronics sectors, in just eight years. Rao hosted lunch for the Young Liu and his team. Later in the evening, Liu along with Telangana Minister KT Rama Rao inaugurated T Works a prototyping facility here. Speaking to reporters, Liu said his company is looking at sites and is currently evaluating the kind of products to be made in Telangana. The amount of investment depends on the products they plan to make."
2,2023-03-03 07:14:00,Adani bonds still shaken even as $153 billion stock rout eases,The stock-market abyss that the ports-to-power conglomerate remains in and uncertainties over credit ratings continue to fan worries about its access to funds following a short seller attack. ,"The historic market meltdown of Adani Group has shown signs of abating after the Indian conglomerate went on a tour to restore confidence and won a $1.9 billion investment by a boutique firm. But a closer look at billionaire Gautam Adani’s empire shows while fears of a debt blowup in the next three years have receded, investors still have doubts about the longer-term repayment abilities. The stock-market abyss that the ports-to-power conglomerate remains in and uncertainties over credit ratings continue to fan worries about its access to funds following a short seller attack. Such concerns have lingered on even after the Adani Group renewed efforts to appease investors during a three-day roadshow this week in Singapore and Hong Kong, where executives said the conglomerate has enough money to repay debt due over the next three years. A family trust also sold 154.5 billion rupees ($1.9 billion) of stock in four companies to GQG Partners, a US-based boutique firm. “It’s certainly positive he’s managing to sell some of his holdings and raise some cash,” said Kamil Dimmich of North of South Capital. “If we can see that engine resume where he can access financial markets again, that could stabilize things,” he said, referring to the billionaire. The Adani Group has also cut expenses and made early debt repayment to alleviate a rout that has erased $153 billion from its stocks since US-based Hindenburg Research’s fraud allegations, which it has denied. The following indicators will likely prove key to money managers’ decisions on the conglomerate, as its crisis of confidence continues to unfold. Bond Risk  While most of Adani Group’s 15 dollar bonds are off their lows hit right after Hindenburg’s Jan. 24 report, all but one are still in the red. The group’s four notes due by the end of 2026 are trading between 84 cents to 94 cents on the dollar, down from 91 cents to 99 cents before the report, but still indicating relatively low-payment risk. It’s a different picture for bonds with maturities further down the road. Seven of the group’s 11 notes due in or after 2027 are trading below or near 70 cents on the dollar, a level that defines distress or severe concerns about timely payment. Stock Slump  After a rout that had erased almost two-thirds of their combined market value, the group’s 10 stocks staged a collective rebound Wednesday for the first time since Hindenburg’s report, led by a near 15% surge in flagship Adani Enterprises Ltd. The latest gains have helped cut the conglomerate’s market wipeout to about $140 billion from a peak of $153 billion. But, it’s still early days. Adani Total Gas Ltd., Adani Transmission Ltd. and Adani Green Energy Ltd., which racked up the biggest losses, remain 70% to 80% lower from their Jan. 24 levels. Hindenburg said in its report that Adani’s seven key namesake stocks had sky-high valuations and faced downside of 85%. Shaky Ratings  Moody’s Investors Service, which cut its outlook for Adani Green and three other group firms to negative from stable last month, said that refinancing maturing debt, changes to capital-spending plans, and capital-raising efforts are key variables to watch. Further ratings actions could follow if the firms’ ability to raise capital is significantly curtailed, there is a significant increase in borrowing costs or deterioration of fundamentals. Similarly, S&P Global Ratings also downgraded the Adani Group’s outlook to negative in February. It said that Indian banks will likely charge higher risk premiums and become extra cautious in the aftermath of the crisis. Investment Calls Of the seven key companies, five have minuscule analyst coverage and even for the other two with more following, the brutal selloff appears to have made a limited impact on the brokerages’ perceptions. Flagship Adani Enterprises., which is tracked by only two brokerages, is split between a buy and a hold recommendation, according to Bloomberg-compiled data. Adani Ports & Special Economic Zone Ltd., the crown jewel and a component of India’s benchmark NSE Nifty 50 Index, is the most followed and has in fact increased its tally of buy calls to 21 from 20 before the crisis. “What is missing here, what nobody talked about, was these are phenomenal, irreplaceable assets,” Rajiv Jain, chairman of GQG said. “You have to be greedy when people are fearful.” But some aren’t convinced. “Investors should still avoid these shares since they are highly volatile,” said Karthick Jonagadla, chief executive of Mumbai-based Quantace Research & Capital Pvt. “If any investor sold these shares a few weeks ago because of a whistleblower report and wants to buy now because they are cheap, such trades are mere speculation and lack fundamentals.” ESG Retreat The crisis also has spilled over into the ESG market, prompting the asset management unit of JPMorgan Chase & Co. to wipe its relevant portfolios clean of exposure to the Adani empire. India’s top court said Thursday it has set up a panel to probe allegations against Adani Group. It also asked the local markets regulator to investigate any manipulation in the group’s stocks and inform about its findings within two months."
3,2023-03-03 06:37:00,Shares of Adani backer GQG Partners fall in Australian trade,"The Florida-based firm bought 3.4% of Adani Enterprises Ltd for about $662 million, 4.1% of Adani Ports and Special Economic Zone Ltd for $640 million, 2.5% of Adani Transmission Ltd for $230 million, and 3.5% of Adani Green Energy Ltd for $340 million, showed an Adani regulatory filing.","GQG Partners Inc's Australian-listed shares fell by as much as 2.6% on Friday after the international investment firm pumped $1.87 billion into four companies under embattled Indian conglomerate Adani Group. The Florida-based firm bought 3.4% of Adani Enterprises Ltd for about $662 million, 4.1% of Adani Ports and Special Economic Zone Ltd for $640 million, 2.5% of Adani Transmission Ltd for $230 million, and 3.5% of Adani Green Energy Ltd for $340 million, showed an Adani regulatory filing. In early trade, GQG shares were down by as much as 2.6% whereas the S&P/ASX200 benchmark index was up 0.4%. GQG's move represents the first major investment in Adani Group since a short-seller's critical report of the conglomerate at the end of January triggered a stock rout."
4,2023-03-03 06:26:00,"After Sima aunty, Indian Oil gets into matchmaking, for its employees","The portal was launched in January this year by India’s largest oil marketing company and the first couple, who met through the portal, tied the knot in late February. ","Sima Taparia, popularly known as Sima aunty, became a phenomenon after the airing of Netflix’s latest docu-series Indian Matchmaking, in which she tries to bring together single men and women in marital bliss. Off-screen, Seema Yadav and Tarun Bansal, both employees of Indian Oil Corporation (IOC), tied the knot in late February, whose union took place through a matrimonial service recently launched by the country’s largest oil marketing company. Among the many congratulatory messages they received on social media was one shared by IOC Chairman and Managing Director Shrikant Madhav Vaidya, who wrote in a tweet: “I was absolutely thrilled to witness the joyous union of Tarun and Seema, the first Indian Oil couple to find love through our very own 'IOCians2gether' platform that aims to create work & life partnerships within IndianOil!” Wishing you a lifetime of happiness! pic.twitter.com/LINOvRiz7C — ChairmanIOC (@ChairmanIOCL) February 24, 2023 Some social media users alleged that the couple had already been planning to get married and their wedding was used to promote the matrimonial service. Moneycontrol could not confirm this. What’s clear is that IOC is keen to play Cupid for its employees as a part of its personnel retention policy. “The goal is to create work and life partnerships (for employees) and stay bonded with IndianOil. I am confident that IOCian-2gether will provide a vital resource for support and happiness for our employees,” said Vaidya. The platform has been developed in-house and aims to offer a safe and supportive environment for employees to build fulfilling relationships while pursuing excellence in their personal and professional lives. “Like the wide range of welfare initiatives rolled out by the Company, IOCian-2gether is an endeavour that aims to enhance employee wellness and resonates with IndianOil's Core Value of Care. As a company that prides itself as a family that nurtures strong bonds, this is yet another step towards cementing the bonds of the employees with the Company,” Indian Oil said in a statement to Moneycontrol. Energy and infrastructure companies have faced challenges in attracting talent and retaining it, especially on project sites. Top executives have often complained about how challenging it is to get engineers to work at far-off sites that do not offer the lifestyle of cities and may require them to stay away from their families. Many drift away from the sector to jobs in information technology and other businesses, forcing management to work on strategies to retain talent. Indian Oil said that to use the website, unmarried employees of the company would have to post their profiles on the platform and can connect with other individuals who have also registered. “The employees can connect to profiles they find interesting and like-minded and mutually take the relationship forward. The portal operates on a voluntary registration basis, allowing individuals to create and manage their profiles according to their preferences and interests,” the company said. The website has a strict privacy policy and ensures the confidentiality of its users' data, the company added. The portal is managed by Indian Oil’s Information Systems team. While the service itself is not very different from other matrimonial services, what sets it apart is that it aims to do matchmaking only within the pool of Indian Oil employees. But energy companies have a long way to go to ensure diversity across teams. Are there enough women in Indian Oil to ensure the initiative succeeds? The state-owned company said it does. “Indian Oil has a significant number of women employees working across the length and breadth of the country as well as across hierarchies, from the ground-level teams to the boardrooms. The platform will also extend important support to the growing number of women employees in Indian Oil who are powering the Company's operations even at the country's remotest corners,” it said in the statement to Moneycontrol."
5,2023-03-02 03:13:00,"Honda Cars India launches new City and new City e:HEV, check prices and details here",Both the models are BS-6 RDE compliant on E5 fuel and E20 material compatible.,"Honda Cars India on March 2 launched two variants of its popular selling sedan - the new City (Petrol) and new City e:HEV - in the Indian market with sporty exterior styling, elegant interior enhancements and the introduction of new features for advanced safety, connectivity and convenience. Both models are BS-6 RDE compliant and are compatible with E5 fuel and E20 material. “Honda City has been our strongest pillar of business, defining the mid-size sedan segment in India and has achieved immense success during its 25-year glorious legacy. With India as the lead market for the model, we are excited to introduce the New City with a sportier new look and enhanced new features for advanced safety, connectivity and convenience,” Takuya Tsumura, President & CEO of Honda Cars India said. “We are confident that our esteemed customers, who are increasingly prioritising safety and eco-friendliness in their vehicle choice will appreciate the new City. The expansion of the Honda Sensing application in the new City (Petrol) line-up and new grade introduction for City e:HEV is aligned with Honda’s global vision to promote safe, environment-friendly and fuel-efficient vehicles that meet the changing needs and preferences of today’s consumers,” he added. A press release issued by the company said, “The new City gets sporty and stylish new looks with a new sporty front grille with diamond-chequered flag pattern, newly designed front bumper with carbon-wrapped lower molding, sporty fog lamp garnish, new rear bumper with sporty carbon-wrapped diffuser, body coloured sporty trunk lip spoiler and newly-designed R16 dual-tone diamond-cut multi-spoke alloy wheels. A brand-new addition to the new City’s fascinating and distinctive colour palette is the Obsidian Blue Pearl colour.” In line with Honda’s Global Safety Vision to strive for zero collision fatalities involving Honda vehicles by 2050, the new City (Petrol) now comes with Honda Sensing – an advanced driver-assist safety technology that alerts the driver to minimize the risk of accidents and in some cases intervene to mitigate a collision or lessen its severity. The City e:HEV, which already comes with Honda Sensing, will have an additional feature of “Low-Speed Follow” in the adaptive cruise control function that helps to maintain a safe distance from the preceding vehicle while driving at low speeds/stop-and-go traffic. Another new feature ‘Lead Car Departure Notification System’ has been added to the Honda Sensing suite of safety features in both City (petrol) and City e:HEV that informs the driver with visual and audible alerts when the preceding vehicle starts moving in situations like Traffic Lights junctions. The Honda Sensing uses a high-performance front camera with a wide-angle, far-reaching detection system to scan the road ahead and alert the driver to minimise the risk of accidents and offer a safer driving experience. The interior of the new City packs a plush, premium and spacious cabin with dual-tone beige and black interiors in petrol variants, while a luxurious two-tone ivory and black interior colour theme is offered in City e:HEV. Introduction of advanced connectivity features like Apple CarPlay and Android Auto, improved infotainment system with new background and colours, remote control operation via smart phone application, improved rear camera, wireless charger, rain sensing auto wipers add to the appeal and convenience for the customers. The company has expanded the City e:HEV range with a new ‘V’ grade in addition to the existing top grade ‘ZX’ to provide customers with more choice and experience of this advanced self-charging strong hybrid electric technology. The new City (Petrol) will also have a new entry ‘SV’ grade for wider set of customers looking to upgrade to the City brand. The New City (Petrol) comes with 1.5L i-VTEC DOHC engine with Variable Timing Control (VTC) to deliver high fuel efficiency, lower emissions, and spirited driving performance. This high-performance engine a maximum of 145 Nm torque and is mated to a six-speed manual transmission and seven- speed continuously variable transmission (CVT) offering impressive fuel efficiency of 17.8 kmpl and 18.4 kmpl, respectively. The New City e:HEV features Honda’s unique self-charging and highly efficient two motor e-CVT hybrid system connected to a smooth 1.5-litre Atkinson-Cycle DOHC i-VTEC petrol engine, Intelligent Power Unit (IPU) with advanced lithium-ion battery and an engine-linked direct coupling clutch. The e:HEV electric-hybrid system uses three driving modes - EV Drive, Hybrid Drive and Engine Drive, along with regeneration mode during deceleration. “The City e:HEV harnesses any electrical energy through braking and self-charges the lithium-ion battery pack with no need to manually charge the battery. The deceleration selector lets the driver change the deceleration to 3 levels without stepping on brake pedal while still maintaining good vehicle control and fuel efficiency,” the release added. Ex-showroom prices (New Delhi) of new City (Petrol) are:"
6,2023-03-02 03:10:00,SBI may look to cut Yes Bank stake once lock-in ends: Sources,"SBI, India's largest bank, does not want to permanently retain a stake in Yes Bank and would want to trim its holdings, albeit in phases, one of the sources told Reuters on condition of anonymity.","State Bank of India may look to lower its stake in Yes Bank after a lock-in period ends on March 6 which was put in place by the central bank as a part of the lender's restructuring, two sources told Reuters. SBI, India's largest bank, does not want to permanently retain a stake in Yes Bank and would want to trim its holdings, albeit in phases, one of the sources told Reuters on condition of anonymity. ""The percentage of equity dilution that the bank intends to do will have to be placed before the RBI (Reserve Bank of India) in due course."" SBI held a 26.14% stake in Yes Bank as of December 31, stock exchange data showed, and is the largest single shareholder in the rescued lender."
7,2023-03-02 01:37:00,RCap resolution: NCLAT allows lenders' plea for another round of bidding,A two-member bench set aside an order passed by NCLT and said the Committee of Creditors (CoC) has the power to negotiate and call for a higher bid.,"The National Company Law Appellate Tribunal (NCLAT) on Thursday  allowed a petition filed by lenders of Reliance Capital seeking another round of auction for the debt-ridden firm undergoing insolvency process. A two-member bench set aside an order passed by NCLT and said the Committee of Creditors (CoC) has the power to negotiate and call for a higher bid. The appellate tribunal permitted the CoC to continue with the challenge mechanism and invite bids after two weeks. The NCLAT order came on a petition filed by Vistra ITCL (India), one of the lenders of Anil Ambani-promoted Reliance Capital, challenging an order of NCLT which restricted further auction of the bankrupt firm. In the Reliance Capital (RCap) matter, Torrent Investments had emerged as the highest bidder with a resolution plan of Rs 8,640 crore. This was challenged by Torrent Investments before the Mumbai bench of NCLT (National Company Law Tribunal). The NCLT had on February 2 said the challenge mechanism for financial bids stood concluded as on December 21, 2022, with the bid of Torrent Investments at Rs 8,640 crore being the highest. Torrent Investments had filed a plea on January 9, requesting the tribunal to quash the lenders' plan to hold a fresh auction for takeover of RCap. Later, IIHL also filed a petition challenging the NCLT order. Torrent Investments was the highest bidder offering Rs 8,640 crore in the last round of the '' challenge mechanism''. IIHL has also challenged the NCLT order before the appellate tribunal. RCap has a consolidated debt of about Rs 40,000 crore."
8,2023-03-02 12:02:00,Axis’ buy of Citi’s consumer business comes with minimum negative surprise,Deal gives Axis access to super affluent clients of Citi as also the scope to cut cost and derive synergy benefits,"                        Highlights

	Axis concludes the acquisition of Citibank’s India consumer business
	Deal pricing lower than before as are some of the key parameters
	High-spending Citi customers remain a key draw
	Scope to drive cost synergies exist post integration pangs
	Axis Bank on a good wicket to close the valuation gap with larger peers

Axis Bank (CMP: Rs 865 Market Cap: Rs 266,144 crore) has completed the acquisition of Citibank’s consumer businesses, covering loans, credit cards, wealth management, and retail banking operations in India, effective March 1,...
                    "
9,2023-03-02 07:55:00,Super rich of Indian origin are top clients at new Singapore wealth firm,"The firm was founded in October by former Bank of Singapore market head for Global South Asia and the Middle East Hemant Tucker, Maitri Asset Management’s ex-Chief Executive Officer Manish Tibrewal and three others. ","Singapore-based multi-family office Farro Capital says it has amassed more than $1 billion in assets under management just four months after it launched, highlighting the city-state’s rise as a hub for wealthy clans. The firm was founded in October by former Bank of Singapore market head for Global South Asia and the Middle East Hemant Tucker, Maitri Asset Management’s ex-Chief Executive Officer Manish Tibrewal and three others. Much of the current client base is of Indian origin, and the rest come from a variety of backgrounds from Europe to other parts of Asia, Tucker said. Farro’s rapid accumulation of assets underscores Singapore’s continuing appeal to the super rich, despite recent efforts to raise wealth taxes and introduce stricter conditions for tax breaks. While it’s gained recognition in recent years for an influx of wealthy Chinese families, the city’s low levies and relative stability are attracting a menagerie of global tycoons. “We are targeting families across the region from Japan to the UK and the US — whoever wants to have access to Asia with Singapore as a center,” Tibrewal said. “We’re looking at adding another 50 families in the next 18 to 24 months,” with an average AUM contribution of $30 million each, he said. More than 700 family offices — organizations that manage the lives and affairs of the super rich — were based in Singapore at the end of 2021, according to official estimates. More have set up there since, despite the imposition of tighter rules last April. Asia’s richest man Mukesh Ambani opened a family office in the city-state last year, joining Google co-founder Sergey Brin, hedge fund billionaire Ray Dalio and vacuum cleaning entrepreneur James Dyson among others. Farro’s base in downtown Singapore is a simple office with a single boardroom, far from the glitzy, art-filled lobbies of many peers. It aims to have 20 staff by the end of the year who are able to do everything from arranging home loans to making portfolios ESG compliant, negotiating bank fees and sourcing deals. Its own fees vary depending on the level of work required. One of its key targets are family offices whose assets are big enough to have a handful of dedicated professionals but too small to warrant hiring a full-service team. Farro aims to fill the gaps, providing anything from investment opportunities to arranging trusts. One of its co-founders is Mahesh Kumar, who worked at law firm Withers KhattarWong helping private clients on their tax strategies. “We’re seeing more first-generation entrepreneurs than ever before and I would say that’s more prevalent in a place like India,” said Nirbhay Handa, head of private clients in Asia at Henley & Partners, which helps wealthy customers set up residency and investments around the world. “When wealth increases, generally you see an uptick of a lot of families looking at a place like Singapore to set up their wealth structuring outfits.” Handa said interest among wealthy entrepreneurs of Indian origin to move assets or relocate to Singapore remains high, even though it hasn’t increased at the same rate as that of Chinese peers."
