,Time,Title,Description,Body
0,2023-03-03 09:21:00,India commercial paper rates may rise further as liquidity dries up: Analysts,"Short-term rates, which have been edging higher since the Reserve Bank of India started raising rates last year, have already hit their highest level in over four years because the liquidity deficit in the banking system is seen widening and the government has stepped up borrowing via treasury bills at the end of the financial year.","Indian companies may have to spend more to raise short-term funds via commercial papers as liquidity tightens further and government borrowings of similar tenure increase, analysts said. Short-term rates, which have been edging higher since the Reserve Bank of India started raising rates last year, have already hit their highest level in over four years because the liquidity deficit in the banking system is seen widening and the government has stepped up borrowing via treasury bills at the end of the financial year. Earlier this week, state-run financial institution NABARD raised three-month funds at 7.65%, which was over 40 basis points higher than what it paid for a similar paper a month ago. Shadow lenders Bajaj Finance, Aditya Birla Finance and Tata Capital Financial, which are regular issuers, paid 7.84%-7.90% for a three-month paper, up 20-30 bps in the last two weeks. These rates are at the highest level since October-November 2018. ""We were already seeing a rise in rates of commercial papers, and companies will have to shell out even more with tighter liquidity conditions likely in March,"" said Anand Nevatia, fund manager with Trust Mutual Fund. The Refinitiv benchmark CP index for non-bank financial companies, which are the largest borrowers in the CP market, showed that the rates have jumped to their highest levels since March 2020, when the pandemic hit. Barring the pandemic period, the rates are at the highest since November 2018. (Graphic: Commercial paper rates have risen to near 4-year highs Commercial paper rates have risen to near 4-year highs, https://www.reuters.com/graphics/INDIA-MARKETS/egpbyolbxvq/chart.png) The recent jump in CP rates is seen across categories, with even top-rated companies paying more, market participants said. ""Since the current rise in yields is more due to broader factors and not any sector or a company-specific issue, we are seeing a uniform jump,"" said Venkatakrishnan Srinivasan, founder and managing partner of debt advisory firm Rockfort Fincap. ""The three-month CP rates of highly rated companies may remain above 7.75%, while the one-year rates may linger around 8.25%, unless the RBI induces more liquidity in the system,"" Srinivasan said. New Delhi is set to borrow an additional 500 billion rupees ($6.06 billion) through a sale of Treasury Bills in March. Banking system liquidity stayed in deficit for most of February and could spiral down with advance tax and GST payments. ""We have seen short-term yields soaring because of tightening liquidity and recent higher inflation prints which have led to market disagreement on terminal rate expectations,"" said Sanjay Pawar fixed income fund manager at LIC Mutual Fund."
1,2023-03-03 09:19:00,Personal Finance: Tackling unprecedented situations in financial planning,Unprecedented situations in one’s life can disrupt financial stability ,"                        An investor who meticulously follows the financial planning process is usually aware that it is a road to achieving financial goals. That is the main motive of this process. The conventional financial goals that we keep hearing about are retirement planning, children’s higher education goal, children’s marriage goal, planning for a house purchase, etc.

But some unprecedented financial situations take us completely off-guard and often rock the stability of personal finances. These could be termed ‘unconventional’ financial goals. A few...
                    "
2,2023-03-03 09:00:00,Will G20 pay heed to Narendra Modi’s wake-up call?,The outcome of the G20 foreign ministers’ meeting underscores the crisis that multilateralism faces in today’s world,"                        Highlights

	G20 foreign ministers fail to issue a joint statement
	The chair summary is very similar to the one issued last week after G20 financial leaders’ huddle
	G20 is unable to exorcise the ghost of the Ukraine war
	The deep divide between the West and the Russia-China combine remains
	 India wants to put war worries behind and push its agenda during the G20 presidency
	But New Delhi has its compulsions and doesn’t wield that influence on the global stage
	Taking a cue from Modi’s remark, India...
                    "
3,2023-03-03 08:48:00,India at last gets going on drug regulatory reforms,"After the initial gut reactions of denial, better sense now seems to be prevailing and the conclave bringing together all stakeholders, regulatory organisations and senior officials running them is a move in the right direction ","                        It has taken the authorities several months after the death of children in two countries being linked to taking cough syrup made in India to do what is critically needed – bring together the key stakeholders in the pharmaceutical industry and the regulators so as to devise a pathway to building a robust regulatory system that does not again let the country down. The critical issue of safety of Indian drugs persists, with the USFDA warning earlier this month...
                    "
4,2023-03-03 08:48:00,Investors want SBI Cards to make the most of growing credit card spends,"Despite SBI Cards performing well with its loan book expanding and asset ratios getting better, investors have been lukewarm on the stock","                        By Alekh Angre

Highlights

	SBI Cards accounts for nearly a fifth of outstanding cards and spends in the industry
	It led the industry in new card additions on a net basis in January 2023
	Asset quality has improved
	RBI’s tightening of regulations has been weighing on the stock
	Hardening of interest rates has led to cost of funds rising
	Another pain point for investors has been the stagnant share of revolvers in gross receivables
	Digital lending platforms are gaining popularity, offering competition to credit cards

SBI Cards and Payment...
                    "
5,2023-03-03 09:00:00,Are retail investors losing faith?,"Last month, institutional investors were net buyers of Indian stocks worth more than Rs 8,000 crore. But still, Nifty cracked by more than 2 percent during the period -- in other words, February saw retail investors losing faith ","                        Highlights

	Easy money and extraordinary returns, coupled with rising incomes in the Technology sector had contributed to an exponential rise in the appeal of stock markets for retail investors
	Retail investors’ contribution to turnover in NSE rose to a decade-high of 45percent in FY21
	DIIs and retail investors continued to support the stock markets, which helped Nifty hold its ground around the 18,000 levels
	In January, direct retail participation in equities started dipping
	Indirect retail participation via SIPs continued unabated even in January
	The ongoing...
                    "
6,2023-03-03 08:18:00,Salvatore Babones writes: India will never achieve the kind of manufacturing dominance that China once had,"More efficient agriculture and services can do just as much to promote growth as more efficient manufacturing. And unlike manufacturing, agriculture and services depend relatively little on global markets","India will soon have a $5 trillion economy, en route to $10 trillion by 2040. That trajectory puts India on track to surpass China in total GDP by mid-century. It will take a lot of ambition – buttressed by strong execution –  to make that future a reality. But it is doable, and the geopolitical outlook is benign. If there's one thing the rest of the world wants, it's an Asian alternative to China. But India is unlikely to grow its way to global influence through export-driven manufacturing for the US and European markets. That trick has been done once, and it won't be done again. From Scale To Redundancy Global manufacturing supply chains became concentrated in China as formerly American production was offshored first to Japan, then to South Korea and Taiwan, and finally from there to China. These production networks consolidated massive manufacturing clusters on a scale never seen before. But today the trend is toward redundancy and supply chain security. That's not just a passing fashion. Modern twenty-first century production networks are not driven by the same economy-of-scale logic that dominated the last century. For high-value components in particular, continuity of supply can be more important than simple low-cost. As a result, production networks are now diversifying out of China. India will capture some of that diversification, but it will never achieve the kind of manufacturing dominance that China once had. And without that kind of dominance, India can't manufacture its way to middle-income status. Luckily, it doesn't have to. Growth Beyond Manufacturing Economic growth isn't just about manufacturing. China's growth was centred on export manufacturing because when China opened to the West, it initially kept its domestic sectors closely guarded. Only the export sector was liberalised, and the export sector quickly adjusted to global levels of productivity. The rest of the economy stayed relatively poor. Thus, although China is a globally-competitive centre for manufacturing, its agriculture and services sectors remain productivity laggards. The overall productivity of an economy, which ultimately determines a country's GDP per capita, is the weighted average of the level of productivity of every sector in the economy. In China's case, manufacturing boosts GDP per capita, while other sectors drag it down. India's path to middle-income status likely does not involve it ever becoming the workshop of the world. Instead, India is more likely to become an $8,000 GDP per capita like Brazil, where exports account for around 20 percent of GDP and manufacturing accounts for only 10 percent of GDP, lower than India's 15 percent. There are many paths to productivity. Focus On Productivity With 30 percent more arable land than in China and more than 40 percent of its workforce still engaged in agriculture, the fastest way to increase productivity (and thus GDP) in India would be to improve the productivity of Indian agriculture. This would require major reforms, but every path to growth requires major reforms. India could become an agricultural powerhouse like Brazil, but only if it ends wasteful practices associated with the mandi system and moves decisively toward market-driven commercialised agriculture. India's services sector would also benefit from continued deregulation. Software services may be a leading sector in India, but other service industries are held back by the dead hand of unnecessary regulation and superfluous red tape. It shouldn't be so complicated to get things done in India. Any paperwork that exists purely for the sake of generating paperwork should simply be eliminated. Market-oriented reforms can be scary (and sometimes politically unpopular), but they are necessary, and will ultimately benefit everyone. If India wants to grow, it will have to move to an economy that has fewer low-productivity farmers and fewer low-productivity servants. Middle-class Indians can't have cooks, cleaners, and drivers. If they do, India's middle class will remain small—and India will remain poor. Reforms that pull people off the farm (and out of the house) inevitably raise the spectre of mass unemployment. But in all of history, that spectre has never materialised. Today's developed economies also used to have millions of poor farmers and domestic servants. Rising productivity created new, better opportunities for these people and their descendants. Productivity really is the tide that lifts all boats. More efficient agriculture and services can do just as much to promote growth as more efficient manufacturing. And unlike manufacturing, agriculture and services depend relatively little on global markets. To reach middle-income status through export-driven manufacturing growth, India will have to beat out many cut-throat competitors. Dozens of countries want to be the next workshop of the world, and they're all going to have to share a slowly expanding pie. But productivity gains in agriculture and services are entirely under India's own control. It would be foolish not to pursue them. Salvatore Babones is an associate professor at the University of Sydney and director of the Indian Century Roundtable. Views are personal, and do not represent the stand of this publication."
7,2023-03-03 06:29:00,Cash Market | GoldBees may do well if dollar index falls,The stock is firmly in an uptrend and one should look for dips to enter,
8,2023-03-03 06:26:00,Commodity Trade | Bear sash near resistance indicates correction in Copper,Lower high and loss of momentum support the bearish view on Copper,
9,2023-03-03 06:22:00,Options Trade | A non-directional options strategy in Axis Bank,Axis Bank is expected to remain sideways within our range. An Iron Condor trade to capitalise,
