,Sentiment,Stock,Previous Close,Predicted Price
0,POSITIVE,DLF,421.65,412.82192213241285
1,POSITIVE,NTPC,170.95,169.90421917994638
2,POSITIVE,TCS,3187.95,3177.9511695297497
3,NEGATIVE,DLF,421.65,412.82192213241285
4,POSITIVE,NTPC,170.95,169.90421917994638
5,POSITIVE,NTPC,170.95,169.90421917994638
6,POSITIVE,TCS,3187.95,3177.9511695297497
7,POSITIVE,NTPC,170.95,169.90421917994638
8,POSITIVE,TCS,3187.95,3177.9511695297497
9,NEGATIVE,HDFC,2772.9,2743.472300672238
10,POSITIVE,IOC,80.45,78.47208799516257
11,NEGATIVE,M&M,1224.0,1210.1940298205081
12,POSITIVE,IOC,80.45,78.47208799516257
13,POSITIVE,SRF,2495.5,2469.0300793000147
14,POSITIVE,HDFC,2772.9,2743.472300672238
15,POSITIVE,BEL,101.45,100.28532896030102
16,NEGATIVE,HAL,2838.95,2810.1794535422778
17,NEGATIVE,HDFC,2772.9,2743.472300672238
18,NEGATIVE,HDFC,2772.9,2743.472300672238
19,NEGATIVE,HDFC,2772.9,2743.472300672238
20,POSITIVE,HDFC,2772.9,2743.472300672238
21,POSITIVE,ITC,416.0,410.89796021641894
22,NEGATIVE,HDFC,2772.9,2743.472300672238
23,POSITIVE,HDFC,2772.9,2743.472300672238
24,POSITIVE,ABB,3411.6,3386.4915941711183
25,NEGATIVE,HDFC,2772.9,2743.472300672238
26,NEGATIVE,HDFC,2772.9,2743.472300672238
27,NEGATIVE,UPL,727.2,716.536623901958
28,NEGATIVE,ONGC,160.05,159.04398288962946
29,NEGATIVE,HDFC,2772.9,2743.472300672238
30,NEGATIVE,HDFC,2772.9,2743.472300672238
31,POSITIVE,ITC,416.0,410.89796021641894
32,NEGATIVE,ITC,416.0,410.89796021641894
33,POSITIVE,HDFC,2772.9,2743.472300672238
34,POSITIVE,HDFC,2772.9,2743.472300672238
35,POSITIVE,TCS,3187.95,3177.9511695297497
36,NEGATIVE,HDFC,2772.9,2743.472300672238
37,POSITIVE,NTPC,170.95,169.90421917994638
38,NEGATIVE,ITC,416.0,410.89796021641894
39,NEGATIVE,LTIM,4320.15,4234.681318983903
